Description FR;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;Dim 6;Prix devise;Devise;Taux change; Prix € / pièce ;Prix total Dim 1;Prix total Dim 2;Prix total Dim 3;Prix total Dim 4;Prix total Dim 5;Prix total Dim 6;Description GB;Fournisseur;Ref fournisseur
Rondelle de tirant nylon;16;16;16;;;;0,07;USD;1,1; 0,06 € ; 1,02 € ; 1,02 € ; 1,02 € ; -   € ; -   € ; -   € ; Nylon Washer for Tension Rod ; Léa Hung ; 3D010084NB 
Vis de montage 4x11 pour coquilles ;32;32;32;;;;0,04;USD;1,1; 0,04 € ; 1,16 € ; 1,16 € ; 1,16 € ; -   € ; -   € ; -   € ; Mounting Screw 4x11 Nickel Plating for lugs ; Léa Hung ; BS01-0400011NK 
;;;;;;;;;;;;;;;;;;;
'Etiquette date de fin d''assemblage';1;1;1;;;;0,1;EUR;1; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; -   € ; -   € ; -   € ;Estimation;Interne;
Etiquette de livraison ASBA;1;1;1;;;;0,5;EUR;1; 0,50 € ; 0,50 € ; 0,50 € ; 0,50 € ; -   € ; -   € ; -   € ;Estimation;Interne;
Ruban tricolore;1;1;1;;;;0,1;EUR;1; 0,10 € ; 0,10 € ; 0,10 € ; 0,10 € ; -   € ; -   € ; -   € ;Estimation;Interne;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;14x14;16x14;16x16;;;;;;
;;;;;;;;;;Total prix de revient matière Floor Tom Révélation selon dimension; 250,12 € ; 276,52 € ; 276,52 € ; -   € ; -   € ; -   € ;;;
Rack Tom ;10x8;12x8;12x9;13x9;14x10;;;;;;10x8;12x8;12x9;13x9;14x10;;;;
Quantité Rhodoïde par fût - Finition Ripple;0,5;0,5;0,5;0,5;0,66;;52,5;USD;1,1; 47,73 € ; 23,86 € ; 23,86 € ; 23,86 € ; 23,86 € ; 31,50 € ; -   € ;;;
Supplément finition Sparkle;0,5;0,5;0,5;0,5;0,66;;14;USD;1,1; 12,73 € ; 6,36 € ; 6,36 € ; 6,36 € ; 6,36 € ; 8,40 € ; -   € ;;;
